Decimal Year_shoreline,region_8_1603
2019.20274,177.2223437
2019.290411,174.1790909
2019.334247,181.3834124
2019.421918,
2019.684932,185.0621505
2019.728767,183.7165618
2019.772603,185.9170107
2019.816438,
2019.860274,
2020.035519,
2020.079235,
2020.122951,200.0962933
2020.166667,193.8258077
2020.254098,192.4250024
2020.34153,199.9425544
2020.385246,
2020.428962,
2020.560109,
2020.647541,
2020.734973,195.1325855
2020.778689,198.7756118
2020.822404,
2020.909836,
2020.997268,126.4936292
2021.041096,
2021.128767,193.8966702
2021.172603,188.4723464
2021.216438,196.9255465
2021.260274,195.8658771
2021.347945,
2021.391781,
2021.435616,183.5445839
2021.479452,
2021.523288,
2021.567123,
2021.610959,
2021.654795,195.310695
2021.69863,
2021.742466,193.8349201
2021.786301,195.1747912
2021.830137,196.0042887
2021.873973,
2021.873973,
2021.887671,191.4297905
2021.939726,195.2165512
2021.961644,178.0210922
2021.983562,
2022.027397,198.0421677
2022.049315,
2022.071233,197.3227085
2022.093151,188.8949952
2022.115068,190.8103959
2022.158904,
2022.180822,198.6458219
2022.20274,
2022.224658,
2022.246575,
2022.268493,189.8870087
2022.290411,178.5803971
2022.312329,
2022.334247,191.1948473
2022.356164,193.9374889
2022.378082,183.8035159
2022.465753,198.062949
2022.487671,179.1003388
2022.509589,
2022.553425,195.25174
2022.59726,194.5836759
2022.663014,193.9141772
2022.684932,174.5800754
2022.706849,
2022.794521,193.5434593
2022.816438,180.5231397
2022.838356,195.5723045
2022.882192,199.4613825
2022.947945,177.9318208
2022.969863,190.7320494
2023.057534,
2023.079452,193.174908
2023.10137,146.8020546
2023.123288,183.6941468
2023.145205,168.3767025
2023.167123,193.5374366
2023.232877,198.2456513
2023.254795,176.6899246
2023.276712,193.2217369
2023.29863,181.9392823
2023.49589,196.872612
2023.517808,197.6212145
2023.539726,
2023.561644,196.7131347
2023.671233,173.7091386
2023.693151,
2023.715068,190.8449889
2023.736986,194.3278138
2023.758904,195.4201969
2023.780822,177.9562161
2023.80274,194.3838121
2023.824658,
2023.868493,
2023.890411,196.0598229
2023.912329,
2023.934247,196.903003
2023.956164,190.7228156
2024,162.3873937
2024.065574,172.139145
2024.10929,146.4387671
2024.131148,
